variable,vif
private_health_exppc_ppp,2.1832332398020506
government_health_exppc_ppp,4.767139444545969
gdppc_ppp,6.633707470029302
unemployment_rate,1.309775807480851
urban_population,1.3658951729556155
kcal_per_capita,1.5355044689135897
