country,country_code,year,current_health_exppc_ppp,government_health_exppc_ppp,private_health_exppc_ppp,external_health_exppc_ppp,urban_population,gdppc_ppp,unemployment_rate,overweight_rate,hypertension_rate,disease_mortality_rate,kcal_per_capita,protein_per_capita_g,fat_per_capita_g
Trinidad and Tobago,TTO,2008,1070.67016359703,511.63271704619,555.206347342196,3.83109234936313,54.402,28944.51868782953,4.63,40.4,40.1,23.6,2672.0466,68.46411,75.484375
Trinidad and Tobago,TTO,2009,1545.86994788823,735.813710592498,806.337831472199,3.71840257388457,54.213,27677.353941727346,5.28,41.1,40.4,21.7,2682.4514,70.31403,76.309654
Trinidad and Tobago,TTO,2010,1484.81149360785,715.08556748236,766.525632960924,3.20029957811624,54.025,28757.80232629672,4.033,41.7,40.7,21.9,2912.0063,90.1002,90.9302
Trinidad and Tobago,TTO,2011,1391.64202375506,694.029036291443,694.61835658884,2.99463663030957,53.836,29064.312371731296,3.425,42.4,41,21.2,2969.998,91.91994,96.51993
Trinidad and Tobago,TTO,2012,1378.53856709658,672.793371197128,704.119122721968,1.62608966070074,53.671,29966.839984399066,3.718,43.1,41.2,20.1,2990.0022,93.17007,95.29007
Trinidad and Tobago,TTO,2013,1420.62508057185,731.802162469064,687.634611559651,1.18833653158664,53.53,29693.37091949124,2.683,43.9,41.4,20.3,3014.9978,96.299934,96.00993
Trinidad and Tobago,TTO,2014,1450.79768636232,729.338409897688,720.357925650064,1.10133986281829,53.413,29926.621645091313,2.477,44.6,41.6,19.8,2982.994,97.3098,98.1698
Trinidad and Tobago,TTO,2015,1562.90560451466,804.528100711692,756.708944348406,1.6685592671895,53.319,27758.83051961813,2.428,45.3,41.7,19.3,2982,93.92,93.99
Trinidad and Tobago,TTO,2016,1690.52002671663,847.237776994817,842.051217369729,1.2310001917071,53.25,26122.020016904473,3.207,46,41.9,18.8,2963.992,92.20975,96.289734
United Kingdom,GBR,2003,2450.89797290318,1933.94746928737,516.743774596181,0.206742391059982,79.339,30317.524313622907,4.807,56.6,32.1,15.3,3415.9143,103.562485,133.9842
United Kingdom,GBR,2004,2673.06232859923,2155.19230775508,517.660786222447,0.209256780899624,79.629,32055.471764234644,4.594,57.2,31.7,14.6,3457.6985,103.59044,138.10721
United Kingdom,GBR,2005,2748.61276002806,2245.05704191733,503.335466934092,0.220265665217572,79.915,32726.133188377244,4.884,57.8,31.2,14.2,3446.0996,103.814,139.76851
United Kingdom,GBR,2006,3009.65607226476,2460.61780710662,548.793261373169,0.245024595824878,80.199,34734.81602464148,5.473,58.4,30.8,13.8,3441.0137,104.171234,147.35905
United Kingdom,GBR,2007,3077.96851213637,2521.63894102011,556.088133898534,0.241433449142195,80.479,35523.311587650154,5.399,58.9,30.5,13.6,3414.1174,104.361885,140.72118
United Kingdom,GBR,2008,3331.49553110221,2717.83040371574,613.404602327343,0.260533163657845,80.757,36744.7913584035,5.748,59.5,30.1,13.2,3412.625,102.598145,139.75606
United Kingdom,GBR,2009,3538.69409795103,2874.39289843457,664.041638008088,0.259573411286568,81.031,35023.332310601516,7.683,60.1,29.8,12.7,3395.534,101.59731,139.06563
United Kingdom,GBR,2010,3646.11055208212,2956.47082386723,689.354389318947,0.285347541219455,81.302,36487.67185318747,7.973,60.6,29.4,12.4,3319.9995,106.359985,130.72998
United Kingdom,GBR,2011,3711.93667448644,3009.67462555466,701.945644252802,0.316411450642752,81.57,37224.37876452561,8.195,61.1,29,12,3336,107.36,127.04
United Kingdom,GBR,2012,3827.54229328603,3094.63957514898,732.556862083308,0.345842094689512,81.837,38343.086903348434,8.279,61.7,28.7,11.7,3314.0002,107.50001,127.47001
United Kingdom,GBR,2013,3960.32288237015,3194.35049527147,765.581908807035,0.390438516539883,82.102,39954.2191450769,7.752,62.2,28.3,11.6,3337.0002,107.00001,127.89001
United Kingdom,GBR,2014,4087.61425927848,3300.66783837073,786.552190425592,0.39422549058542,82.365,41278.12750799189,6.398,62.7,27.9,11.3,3355.9998,107.81999,129.95999
United Kingdom,GBR,2015,4190.53565364736,3385.77986975822,804.311662976421,0.444096111477842,82.626,42496.85429092182,5.552,63.2,27.6,11.3,3373.9995,110.22999,130.72998
United Kingdom,GBR,2016,4320.89364463518,3511.99539632046,808.406131349407,0.492073637209844,82.886,44082.116467849395,4.909,63.7,27.3,11.3,3359,111.42,129.79
United States,USA,2003,5708.55183499383,2567.38336497817,3141.16850619954,0,79.583,39490.30239031761,5.989,60.7,31.5,17,3800.006,115.25779,159.58617
United States,USA,2004,6047.81821095971,2747.05568731863,3300.76260235592,0,79.757,41724.64119826138,5.529,61.3,31.6,16.4,3828.944,116.08466,162.4964
United States,USA,2005,6404.18584363225,2912.36178484886,3491.82405278864,0,79.928,44123.39964700257,5.084,61.9,31.7,16.1,3845.0654,115.60307,165.72554
United States,USA,2006,6779.22768291122,3139.26657596546,3639.96112894219,0,80.099,46301.98764855189,4.623,62.5,31.8,15.7,3798.017,115.03484,163.13503
United States,USA,2007,7132.44701849378,3305.17004708154,3827.27709585383,0,80.269,48050.22741219505,4.622,63.1,31.8,15.4,3769.951,115.2459,163.74251
United States,USA,2008,7347.45468938295,3489.41542591095,3858.03937657974,0,80.438,48570.05942696015,5.784,63.7,31.9,15.2,3711.6448,113.245285,161.87787
United States,USA,2009,7602.74553373137,3687.46978534739,3915.2759406691,0,80.606,47194.95008938721,9.254,64.2,31.9,14.9,3656.5781,111.252266,159.75584
United States,USA,2010,7833.04507033477,3826.41142602331,4006.63354369679,0,80.772,48650.664322723205,9.633,64.8,31.9,14.5,3729,119.02,161.38
United States,USA,2011,8021.59330073174,3925.08539634173,4096.50787978359,0,80.944,50065.97894706748,8.949,65.3,31.8,14.3,3727.0002,116.98001,162.79001
United States,USA,2012,8274.37255504139,4040.13008676263,4234.2425598155,0,81.119,51784.41146920484,8.069,65.8,31.8,14.2,3764.9998,117.649994,163.37999
United States,USA,2013,8433.69816048878,4174.37003813017,4259.32811883063,0,81.299,53409.75077743717,7.375,66.4,31.7,14,3753.9998,117.549995,162.39
United States,USA,2014,8828.4764100666,4482.64818224892,4345.82810704064,0,81.483,55304.31553171368,6.168,66.9,31.7,13.9,3742.0002,117.11001,162.17001
United States,USA,2015,9248.93430579905,4751.98451946659,4496.94979812044,0,81.671,57040.20821366048,5.28,67.4,31.6,13.9,3754,118.13,163.2
United States,USA,2016,9599.8910461831,4914.80958841625,4685.08128527217,0,81.862,58206.614193184105,4.869,67.9,31.6,14,3776.9998,119.28999,164.49998
